method,dataset,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy
Haar Cascade,webcam,val,f9b101ac-8335-11ee-9f75-9cfeff47d2fa.jpg,1,0,0,0.25789809226989746,1.0
Haar Cascade,webcam,val,faa2682e-8335-11ee-816f-9cfeff47d2fa.jpg,1,1,1,0.2506430149078369,0.0
Dlib HOG,webcam,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,1,0,0,0.32115840911865234,1.0
Dlib HOG,webcam,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,0,0,1,0.2317969799041748,0.0
Dlib HOG,webcam,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.18923258781433105,0.0
Dlib HOG,webcam,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,0,0,1,0.17773938179016113,0.0
Dlib HOG,webcam,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,0,0,1,0.208390474319458,0.0
Dlib HOG,webcam,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,0.20000720024108887,0.0
Dlib HOG,webcam,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,1,0,0,0.18901443481445312,1.0
Dlib HOG,webcam,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,0,0,0.17913007736206055,1.0
Dlib HOG,webcam,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,0,0,1,0.1911787986755371,0.0
Dlib HOG,webcam,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,0,0,1,0.23852038383483887,0.0
Dlib HOG,webcam,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,0,0,1,0.19208812713623047,0.0
Dlib HOG,webcam,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,0,0,1,0.18579459190368652,0.0
Dlib HOG,webcam,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,0,0,1,0.19962263107299805,0.0
Dlib HOG,webcam,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,0,0,1,0.18736696243286133,0.0
Dlib HOG,webcam,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,0,0,1,0.1644001007080078,0.0
Dlib HOG,webcam,train,f8c53c90-8335-11ee-9f1c-9cfeff47d2fa.jpg,0,0,1,0.17815518379211426,0.0
Dlib HOG,webcam,train,f96353c8-8335-11ee-9289-9cfeff47d2fa.jpg,1,0,0,0.19470453262329102,1.0
Dlib HOG,webcam,train,fa00ffc5-8335-11ee-b02e-9cfeff47d2fa.jpg,0,0,1,0.18122506141662598,0.0
Dlib HOG,webcam,train,fa51943f-8335-11ee-8eed-9cfeff47d2fa.jpg,0,0,1,0.19846153259277344,0.0
Dlib HOG,webcam,train,faf2e6a3-8335-11ee-932a-9cfeff47d2fa.jpg,0,0,1,0.23369789123535156,0.0
Dlib HOG,webcam,train,fb42e89d-8335-11ee-819a-9cfeff47d2fa.jpg,0,0,1,0.19170761108398438,0.0
Dlib HOG,webcam,train,fb935431-8335-11ee-94da-9cfeff47d2fa.jpg,1,0,0,0.15458321571350098,1.0
Dlib HOG,webcam,train,fbe21232-8335-11ee-9efb-9cfeff47d2fa.jpg,1,0,0,0.19007468223571777,1.0
Dlib HOG,webcam,train,fc3278a3-8335-11ee-8393-9cfeff47d2fa.jpg,1,1,1,0.17801475524902344,0.0
Dlib HOG,webcam,train,fc84be21-8335-11ee-b45a-9cfeff47d2fa.jpg,0,0,1,0.19079065322875977,0.0
Dlib HOG,webcam,train,fcd4c992-8335-11ee-8b82-9cfeff47d2fa.jpg,0,0,1,0.17434239387512207,0.0
Dlib HOG,webcam,val,f5148e3a-8335-11ee-b233-9cfeff47d2fa.jpg,0,0,1,0.19342947006225586,0.0
Dlib HOG,webcam,val,f875155f-8335-11ee-9c28-9cfeff47d2fa.jpg,1,0,0,0.16899633407592773,1.0
Dlib HOG,webcam,val,f9b101ac-8335-11ee-9f75-9cfeff47d2fa.jpg,1,0,0,0.17037105560302734,1.0
Dlib HOG,webcam,val,faa2682e-8335-11ee-816f-9cfeff47d2fa.jpg,0,0,1,0.1769273281097412,0.0
FaceNet,webcam,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,2,1,0,2.455505609512329,1.0
FaceNet,webcam,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,1,0,0,2.5014171600341797,1.0
FaceNet,webcam,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,2.5421857833862305,0.0
FaceNet,webcam,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,2,2,1,2.5501396656036377,0.0
FaceNet,webcam,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,1,1,1,2.543398857116699,0.0
FaceNet,webcam,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,8.227557897567749,0.0
FaceNet,webcam,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,1,0,0,9.138492107391357,1.0
FaceNet,webcam,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,0,0,9.166308164596558,1.0
FaceNet,webcam,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,1,0,0,9.302170991897583,1.0
FaceNet,webcam,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,1,1,1,9.374951601028442,0.0
FaceNet,webcam,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,0,0,1,9.527881383895874,0.0
FaceNet,webcam,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,0,0,1,9.558155059814453,0.0
FaceNet,webcam,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,1,0,0,9.538249254226685,1.0
FaceNet,webcam,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,0,0,1,9.462096691131592,0.0
FaceNet,webcam,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,1,0,0,9.396397352218628,1.0
FaceNet,webcam,train,f8c53c90-8335-11ee-9f1c-9cfeff47d2fa.jpg,1,0,0,9.241397380828857,1.0
FaceNet,webcam,train,f96353c8-8335-11ee-9289-9cfeff47d2fa.jpg,2,1,0,8.87069058418274,1.0
FaceNet,webcam,train,fa00ffc5-8335-11ee-b02e-9cfeff47d2fa.jpg,1,0,0,8.972579717636108,1.0
FaceNet,webcam,train,fa51943f-8335-11ee-8eed-9cfeff47d2fa.jpg,0,0,1,9.20530915260315,0.0
FaceNet,webcam,train,faf2e6a3-8335-11ee-932a-9cfeff47d2fa.jpg,0,0,1,9.190171957015991,0.0
